Date,GDP
2012-03-31,15973.9
2012-06-30,16121.9
2012-09-30,16227.9
2012-12-31,16297.3
2013-03-31,16475.4
2013-06-30,16541.4
2013-09-30,16749.3
2013-12-31,16999.9
