permit,city,state,zip,district,date_issued,lat,lng
279.0,Nashville,TN,37204,17.0,02/10/2015,36.094305,-86.73674799999998
324.0,Nashville,TN,37205,23.0,02/10/2015,36.102469,-86.882263
133.0,Nashville,TN,37212,18.0,,36.113256,-86.84145600000002
92.0,Nashville,TN,37208,21.0,01/16/2015,36.20642700000001,-86.845176
438.0,Nashville,TN,37216,7.0,11/30/2015,36.26113400000001,-86.756204
45.0,Nashville,TN,37215,34.0,02/07/2013,36.086316,-86.792959
33.0,Nashville,TN,37205,23.0,02/23/2015,36.142469,-86.862263
247.0,Nashville,TN,37216,7.0,01/13/2015,36.251134,-86.706204
403.0,Nashville,TN,37221,22.0,11/30/2015,36.094367,-87.00029
283.0,Nashville,TN,37216,7.0,,36.19113400000001,-86.746204
314.0,Nashville,TN,37211,26.0,12/03/2014,36.069132,-86.694578
407.0,Nashville,TN,37205,23.0,03/16/2015,36.122469,-86.832263
466.0,Nashville,TN,37207,2.0,07/14/2015,36.214945,-86.805061
304.0,Nashville,TN,37215,34.0,11/19/2014,36.046316,-86.867959
330.0,Nashville,TN,37206,6.0,12/01/2015,36.19595,-86.734624
447.0,Nashville,TN,37218,1.0,06/05/2015,36.195699,-86.836798
55.0,Nashville,TN,37204,25.0,05/30/2012,36.089305,-86.776748
35.0,Nashville,TN,37211,10.0,11/14/2014,36.069132,-86.694578
319.0,Nashville,TN,37207,2.0,05/30/2014,36.184945,-86.760061
423.0,Nashville,TN,37206,6.0,05/01/2015,36.17595,-86.764624
171.0,Nashville,TN,37115,9.0,12/04/2015,36.242567,-86.714171
321.0,Nashville,TN,37013,30.0,06/02/2014,36.084335,-86.64683199999997
,Nashville,TN,37211,16.0,10/19/2015,36.024132,-86.694578
15.0,Nashville,TN,37214,18.0,12/30/2014,36.138995,-86.70223100000003
212.0,Nashville,TN,37212,19.0,11/19/2015,36.103256,-86.796456
463.0,Nashville,TN,37221,22.0,07/02/2014,36.079367,-86.94529
333.0,Nashville,TN,37221,22.0,12/30/2014,36.084367,-86.91529
257.0,Nashville,TN,37221,22.0,11/14/2014,36.059367,-86.91529
132.0,Nashville,TN,37216,7.0,11/12/2014,36.231134,-86.731204
281.0,Nashville,TN,37211,26.0,11/13/2015,36.089132,-86.684578
462.0,Nashville,TN,37215,25.0,07/02/2015,36.051316,-86.79795899999998
97.0,Nashville,TN,37212,18.0,06/05/2015,36.173256,-86.82145600000003
309.0,Nashville,TN,37013,30.0,12/31/2014,36.029335,-86.59683199999998
212.0,Nashville,TN,37220,26.0,11/12/2014,36.07288,-86.756955
285.0,Nashville,TN,37206,6.0,01/06/2015,36.13595,-86.729624
234.0,Nashville,TN,37212,18.0,08/27/2013,36.118256,-86.781456
,Nashville,TN,37204,25.0,11/13/2015,36.154305,-86.816748
444.0,Nashville,TN,37205,23.0,06/03/2015,36.067469,-86.867263
80.0,Nashville,TN,37212,7.0,12/12/2014,36.138256,-86.781456
406.0,Nashville,TN,37013,31.0,03/06/2015,36.004335,-86.666832
39.0,Nashville,TN,37211,30.0,12/12/2014,36.024132,-86.749578
127.0,Nashville,TN,37076,24.0,12/01/2015,36.155185,-86.6333
200.0,Nashville,TN,37212,18.0,11/21/2014,36.158256,-86.816456
145.0,Nashville,TN,37206,6.0,12/10/2014,36.15595,-86.749624
