AAPL,GOOG,IBM,Month
117.160004,534.5224450000002,153.309998,Jan
128.46000700000002,558.402511,161.940002,Feb
124.43,548.002468,160.5,Mar
125.150002,537.340027,171.28999299999995,Apr
130.279999,532.1099849999998,169.649994,May
125.43,520.51001,162.660004,Jun
121.300003,625.6099849999998,161.990005,Jul
112.760002,618.25,147.889999,Aug
110.300003,608.419983,144.970001,Sep
119.5,710.8099980000002,140.080002,Oct
118.300003,742.599976,139.419998,Nov
105.260002,758.880005,137.619995,Dec
