state,good,prop_selling
Alabama,Bakedgoods,0.7605633802816901
Alabama,Beans,0.08450704225352113
Alabama,Cheese,0.22535211267605634
Alabama,Coffee,0.19718309859154928
Alabama,Crafts,0.4225352112676056
Alabama,Eggs,0.5915492957746479
Alabama,Flowers,0.43661971830985913
Alabama,Fruits,0.7605633802816901
Alabama,Grains,0.09859154929577464
Alabama,Herbs,0.6197183098591549
Alabama,Honey,0.8591549295774648
Alabama,Jams,0.8591549295774648
Alabama,Juices,0.11267605633802817
Alabama,Maple,0.014084507042253521
Alabama,Meat,0.2535211267605634
Alabama,Mushrooms,0.056338028169014086
Alabama,Nursery,0.07042253521126761
Alabama,Nuts,0.2676056338028169
Alabama,PetFood,0.11267605633802817
Alabama,Plants,0.5915492957746479
Alabama,Poultry,0.19718309859154928
Alabama,Prepared,0.4084507042253521
Alabama,Seafood,0.056338028169014086
Alabama,Soap,0.5352112676056338
Alabama,Tofu,0.014084507042253521
Alabama,Trees,0.29577464788732394
Alabama,Vegetables,0.9577464788732394
Alabama,WildHarvested,0.09859154929577464
Alabama,Wine,0.0
Arizona,Bakedgoods,0.803030303030303
Arizona,Beans,0.5303030303030303
Arizona,Cheese,0.48484848484848486
Arizona,Coffee,0.696969696969697
Arizona,Crafts,0.6363636363636364
Arizona,Eggs,0.7575757575757576
Arizona,Flowers,0.45454545454545453
Arizona,Fruits,0.9090909090909091
Arizona,Grains,0.3787878787878788
Arizona,Herbs,0.7878787878787878
Arizona,Honey,0.7878787878787878
Arizona,Jams,0.8181818181818182
Arizona,Juices,0.48484848484848486
Arizona,Maple,0.18181818181818182
Arizona,Meat,0.48484848484848486
Arizona,Mushrooms,0.2727272727272727
Arizona,Nursery,0.0
Arizona,Nuts,0.5303030303030303
Arizona,PetFood,0.4393939393939394
Arizona,Plants,0.6666666666666666
Arizona,Poultry,0.4090909090909091
Arizona,Prepared,0.7727272727272727
Arizona,Seafood,0.3181818181818182
Arizona,Soap,0.7878787878787878
Arizona,Tofu,0.07575757575757576
Arizona,Trees,0.36363636363636365
Arizona,Vegetables,0.9090909090909091
Arizona,WildHarvested,0.22727272727272727
Arizona,Wine,0.09090909090909091
Arkansas,Bakedgoods,0.9152542372881356
Arkansas,Beans,0.13559322033898305
Arkansas,Cheese,0.2033898305084746
Arkansas,Coffee,0.3898305084745763
Arkansas,Crafts,0.8305084745762712
Arkansas,Eggs,0.864406779661017
Arkansas,Flowers,0.7457627118644068
Arkansas,Fruits,0.864406779661017
Arkansas,Grains,0.15254237288135594
Arkansas,Herbs,0.6949152542372882
Arkansas,Honey,0.847457627118644
Arkansas,Jams,0.8983050847457628
Arkansas,Juices,0.11864406779661017
Arkansas,Maple,0.1016949152542373
Arkansas,Meat,0.5084745762711864
Arkansas,Mushrooms,0.1694915254237288
Arkansas,Nursery,0.01694915254237288
Arkansas,Nuts,0.23728813559322035
Arkansas,PetFood,0.2542372881355932
Arkansas,Plants,0.6779661016949152
Arkansas,Poultry,0.3559322033898305
Arkansas,Prepared,0.423728813559322
Arkansas,Seafood,0.05084745762711865
Arkansas,Soap,0.7457627118644068
Arkansas,Tofu,0.0
Arkansas,Trees,0.2711864406779661
Arkansas,Vegetables,0.9491525423728814
Arkansas,WildHarvested,0.15254237288135594
Arkansas,Wine,0.03389830508474576
California,Bakedgoods,0.8687782805429864
California,Beans,0.19230769230769232
California,Cheese,0.5384615384615384
California,Coffee,0.36425339366515835
California,Crafts,0.4751131221719457
California,Eggs,0.7262443438914027
California,Flowers,0.7873303167420814
California,Fruits,0.8235294117647058
California,Grains,0.1425339366515837
California,Herbs,0.7873303167420814
California,Honey,0.8393665158371041
California,Jams,0.6990950226244343
California,Juices,0.4117647058823529
California,Maple,0.04751131221719457
California,Meat,0.4457013574660634
California,Mushrooms,0.29638009049773756
California,Nursery,0.06561085972850679
California,Nuts,0.7171945701357466
California,PetFood,0.09954751131221719
California,Plants,0.5497737556561086
California,Poultry,0.40497737556561086
California,Prepared,0.8076923076923077
California,Seafood,0.43891402714932126
California,Soap,0.5927601809954751
California,Tofu,0.09049773755656108
California,Trees,0.38687782805429866
California,Vegetables,0.9638009049773756
California,WildHarvested,0.07692307692307693
California,Wine,0.15384615384615385
Colorado,Bakedgoods,0.9183673469387755
Colorado,Beans,0.21428571428571427
Colorado,Cheese,0.5306122448979592
Colorado,Coffee,0.5510204081632653
Colorado,Crafts,0.7755102040816326
Colorado,Eggs,0.7653061224489796
Colorado,Flowers,0.6530612244897959
Colorado,Fruits,0.8061224489795918
Colorado,Grains,0.21428571428571427
Colorado,Herbs,0.7653061224489796
Colorado,Honey,0.8877551020408163
Colorado,Jams,0.8877551020408163
Colorado,Juices,0.3877551020408163
Colorado,Maple,0.17346938775510204
Colorado,Meat,0.7142857142857143
Colorado,Mushrooms,0.2755102040816326
Colorado,Nursery,0.07142857142857142
Colorado,Nuts,0.25510204081632654
Colorado,PetFood,0.2755102040816326
Colorado,Plants,0.6632653061224489
Colorado,Poultry,0.42857142857142855
Colorado,Prepared,0.8163265306122449
Colorado,Seafood,0.30612244897959184
Colorado,Soap,0.8877551020408163
Colorado,Tofu,0.05102040816326531
Colorado,Trees,0.14285714285714285
Colorado,Vegetables,0.9591836734693877
Colorado,WildHarvested,0.17346938775510204
Colorado,Wine,0.30612244897959184
Connecticut,Bakedgoods,0.9629629629629629
Connecticut,Beans,0.14814814814814814
Connecticut,Cheese,0.7962962962962963
Connecticut,Coffee,0.5
Connecticut,Crafts,0.6111111111111112
Connecticut,Eggs,0.8333333333333334
Connecticut,Flowers,0.8518518518518519
Connecticut,Fruits,0.8703703703703703
Connecticut,Grains,0.1111111111111111
Connecticut,Herbs,0.7962962962962963
Connecticut,Honey,0.9074074074074074
Connecticut,Jams,0.9074074074074074
Connecticut,Juices,0.2037037037037037
Connecticut,Maple,0.8148148148148148
Connecticut,Meat,0.7222222222222222
Connecticut,Mushrooms,0.37037037037037035
Connecticut,Nursery,0.037037037037037035
Connecticut,Nuts,0.09259259259259259
Connecticut,PetFood,0.24074074074074073
Connecticut,Plants,0.5925925925925926
Connecticut,Poultry,0.5740740740740741
Connecticut,Prepared,0.8148148148148148
Connecticut,Seafood,0.2777777777777778
Connecticut,Soap,0.8888888888888888
Connecticut,Tofu,0.0
Connecticut,Trees,0.2222222222222222
Connecticut,Vegetables,0.9814814814814815
Connecticut,WildHarvested,0.037037037037037035
Connecticut,Wine,0.1111111111111111
Delaware,Bakedgoods,0.6785714285714286
Delaware,Beans,0.0
Delaware,Cheese,0.4642857142857143
Delaware,Coffee,0.32142857142857145
Delaware,Crafts,0.2857142857142857
Delaware,Eggs,0.75
Delaware,Flowers,0.7142857142857143
Delaware,Fruits,0.7857142857142857
Delaware,Grains,0.10714285714285714
Delaware,Herbs,0.6785714285714286
Delaware,Honey,0.7142857142857143
Delaware,Jams,0.7142857142857143
Delaware,Juices,0.21428571428571427
Delaware,Maple,0.14285714285714285
Delaware,Meat,0.6785714285714286
Delaware,Mushrooms,0.35714285714285715
Delaware,Nursery,0.07142857142857142
Delaware,Nuts,0.14285714285714285
Delaware,PetFood,0.14285714285714285
Delaware,Plants,0.5357142857142857
Delaware,Poultry,0.5714285714285714
Delaware,Prepared,0.6071428571428571
Delaware,Seafood,0.17857142857142858
Delaware,Soap,0.5714285714285714
Delaware,Tofu,0.0
Delaware,Trees,0.21428571428571427
Delaware,Vegetables,0.8571428571428571
Delaware,WildHarvested,0.07142857142857142
Delaware,Wine,0.07142857142857142
District of Columbia,Bakedgoods,0.8863636363636364
District of Columbia,Beans,0.36363636363636365
District of Columbia,Cheese,0.5909090909090909
District of Columbia,Coffee,0.4090909090909091
District of Columbia,Crafts,0.20454545454545456
District of Columbia,Eggs,0.8636363636363636
District of Columbia,Flowers,0.7272727272727273
District of Columbia,Fruits,0.9090909090909091
District of Columbia,Grains,0.06818181818181818
District of Columbia,Herbs,0.8863636363636364
District of Columbia,Honey,0.6136363636363636
District of Columbia,Jams,0.45454545454545453
District of Columbia,Juices,0.4090909090909091
District of Columbia,Maple,0.09090909090909091
District of Columbia,Meat,0.7272727272727273
District of Columbia,Mushrooms,0.4772727272727273
District of Columbia,Nursery,0.0
District of Columbia,Nuts,0.18181818181818182
District of Columbia,PetFood,0.11363636363636363
District of Columbia,Plants,0.3181818181818182
District of Columbia,Poultry,0.6818181818181818
District of Columbia,Prepared,0.4318181818181818
District of Columbia,Seafood,0.4090909090909091
District of Columbia,Soap,0.11363636363636363
District of Columbia,Tofu,0.045454545454545456
District of Columbia,Trees,0.045454545454545456
