day,mean,std_err
82,25.425,1.447794659128151
83,25.25,1.42905125870278
84,25.425,1.4356564265171523
85,25.275,1.4547282821888077
86,25.025,1.438092269292899
87,25.4,1.528397853963424
88,25.75,1.6250961510015336
89,26.275,1.6844834148782823
90,26.5,1.647725705328408
91,26.425,1.659023620989165
92,26.95,1.6496022247802649
93,27.25,1.694015200640183
94,27.4,1.7087275967807156
95,27.725,1.736730944907702
96,27.4,1.7648654339637342
97,27.375,1.7665954191608217
98,27.75,1.7449032924491832
99,28.05,1.7193567110986594
100,27.85,1.7423224443253895
101,27.9,1.7352233285660954
102,28.125,1.7106970436053253
103,27.9,1.695877354056006
104,27.6,1.7254709502046102
105,27.675,1.7133255309485116
106,27.75,1.709806275576271
107,27.15,1.6872870235973487
108,26.75,1.7279865450865062
109,26.575,1.7659584862051543
110,26.325,1.7990926532560794
111,26.075,1.8409873370015337
112,26.4,1.8199587907422519
113,26.3,1.809419796509367
114,25.725,1.7652859187678351
115,25.825,1.7656045352796303
116,26.35,1.7311665142325274
117,26.575,1.7280362771076305
118,26.5,1.7432010784760315
119,26.225,1.7228201806921115
120,26.325,1.7282171087568827
121,26.175,1.7069298096289724
122,25.675,1.6543078235322468
123,25.3,1.6823346872724223
124,24.95,1.6881757906094967
125,24.875,1.7008040378009452
126,24.5,1.745350967570706
127,23.95,1.649981060497362
128,23.475,1.5243799969167793
129,22.925,1.4332600514212344
130,22.925,1.4332600514212344
131,22.825,1.4503824926549547
132,22.425,1.4128373490957833
133,22.425,1.412837349095783
134,22.05,1.3637952558943738
135,21.475,1.2908270120353074
136,21.8,1.289961239727768
137,21.825,1.2902942978251124
138,21.475,1.2742583627349675
139,21.2,1.2679708198535167
140,21.125,1.2777849486513762
141,21.15,1.2769837508754762
142,20.925,1.2793491997887052
143,20.55,1.281088404443659
144,20.725,1.2737677869219333
145,21.025,1.2920369093025166
146,20.775,1.2915530864041167
147,20.575,1.3171406056302417
148,20.625,1.309908155177301
149,20.8,1.2787689392536867
151,20.85,1.2710969671901513
152,20.85,1.2710969671901509
153,20.525,1.2658927185982232
154,20.075,1.2416659675613244
155,19.975,1.2457364789553207
156,19.75,1.229201976893952
157,19.3,1.1969753548005908
158,18.775,1.1918931894259652
159,18.725,1.201034710156205
160,18.425,1.1921029213117464
161,17.975,1.1459098459302983
162,17.525,1.082813176406715
163,17.5,1.0799305533227588
164,17.4,1.0947602477255007
165,17.375,1.0952668053949228
166,17.7,1.102383780722485
167,17.85,1.0825606218591177
168,17.75,1.070484703300332
169,17.675,1.0496353533489617
170,17.525,1.0446216420312189
171,17.75,1.080942875456423
172,18.375,1.156874831172327
173,18.525,1.1715307827795223
174,18.2,1.0381473883798966
175,18.15,1.0347403055839663
176,18.125,1.0357289099952747
177,17.9,1.0054849576199536
178,17.775,0.9971756991623892
179,17.95,1.008681069516029
180,17.95,1.008681069516029
181,17.925,1.0120446506948197
182,17.925,1.0120446506948197
183,18.05,1.0136259171903608
184,18.225,1.0065333452002472
185,17.9,1.027010223902372
186,17.425,0.9936595870820147
187,17.25,1.01473518713012
188,17.65,1.0201409216377901
189,17.775,1.01641988124987
190,17.775,1.01641988124987
191,17.9,1.012299362836903
192,18.125,0.9869064671993998
193,18.225,0.9839254926060202
194,18.05,1.0173187799308532
195,18.075,1.0163583890537826
196,18.275,1.039824203892177
197,18.9,1.1526057435220423
198,19.625,1.2174191451591354
199,19.9,1.187328935047066
200,20.2,1.1870130580579137
201,20.475,1.1821524330643658
202,20.775,1.1845291786190832
203,20.975,1.2059682313394495
204,21.325,1.1680044413442956
205,21.225,1.1834734365417754
206,21.55,1.250974620046306
207,22.1,1.2960516964997963
208,22.15,1.2959311324294975
209,22.025,1.2876759588498963
210,22.5,1.317193987231949
211,22.55,1.3242686660946108
212,22.075,1.2861704299975176
213,21.925,1.2832514854852106
214,21.825,1.2712629055392122
215,21.825,1.2712629055392122
216,21.9,1.2648122390299676
217,22.025,1.2636690132309172
218,22.2,1.2615466697669175
219,22.125,1.2610449535999895
220,22.225,1.2547347827329887
221,22.4,1.230751802761223
222,22.375,1.232217259658377
223,22.475,1.2333833041678488
224,22.775,1.2537381604625424
225,22.875,1.2299326709214613
226,23.025,1.2023349678854058
227,23.35,1.1492116863311128
228,23.175,1.152110834512027
229,23.025,1.1749933510450175
230,22.975,1.1845291786190832
231,23.1,1.1804660096758397
232,23.35,1.1792741411563301
233,23.475,1.1741952031072176
234,23.9,1.0976110422185084
235,23.925,1.0939535524874902
236,23.675,1.1041894651734365
237,23.775,1.1426326509425502
238,23.675,1.1154525426928747
239,23.775,1.1115796755068887
240,23.475,1.13577479061652
241,23.275,1.1461825225504008
242,23.525,1.1921553485179688
243,23.5,1.1890121950594112
244,23.475,1.1895311576415306
245,23.475,1.1895311576415306
246,23.025,1.1338471568073007
247,22.825,1.0885124597357623
248,23.025,1.1070724343962322
249,23.0,1.107361729517505
250,22.925,1.089373386401559
251,22.65,1.0721182304205072
252,22.75,1.06345545275766
253,22.825,1.061183007308353
254,22.725,1.0582931422814759
255,22.7,1.0601886624558856
256,22.9,1.0611314715905846
257,22.875,1.0607706514605313
258,23.05,1.0833685891699094
259,23.2,1.0863931148529982
260,23.05,1.1039418010022086
261,23.15,1.0991758276090318
262,23.2,1.095559217933928
263,23.125,1.0949814496145585
264,22.525,1.1330200240948964
265,22.675,1.110961014167464
266,22.625,1.1184182469005053
267,22.875,1.1419213523706435
268,23.425,1.2216216169501912
269,24.125,1.2669784429894613
270,25.025,1.3763572846466863
271,25.275,1.393730381027837
272,25.175,1.392339532944461
273,25.45,1.4128649970892477
274,25.675,1.4245119778366202
275,26.0,1.4168627315304754
276,26.075,1.4068526486451947
277,25.675,1.3404232074236853
278,25.225,1.3441946938594866
279,24.9,1.389154419062186
280,25.15,1.361777331284377
281,25.35,1.3460822783173394
282,25.225,1.3245223195552427
283,25.875,1.5129389858814533
284,26.775,1.704218112507903
285,27.55,1.7080507896429775
286,27.525,1.7109892971611482
287,27.65,1.718120339207938
288,27.425,1.7215136871369914
289,27.3,1.7357275131771115
290,27.075,1.7347144938000603
291,27.375,1.729410123423591
292,27.4,1.7272811004581738
293,27.2,1.7511424842085237
294,27.3,1.7464964929824507
295,27.425,1.7359750502239364
296,27.175,1.754952812755944
297,27.025,1.7700591444920704
298,27.1,1.7768652171732102
299,27.0,1.7797471730557686
300,27.45,1.759243445348028
301,27.975,1.801904374543777
302,28.325,1.8011758312280342
303,28.275,1.8062348615282566
304,28.425,1.7698472744844398
305,28.5,1.7613914953808534
306,28.425,1.7772476965803048
307,28.275,1.7758756642850873
308,27.975,1.7465993744989146
309,27.7,1.716173068195629
310,27.025,1.6341999189205707
311,27.1,1.6438521831356978
312,27.475,1.667703323436156
313,27.125,1.6640265547760948
314,27.05,1.6590471662975708
315,26.975,1.6562334904837541
316,26.9,1.6657580856775092
317,26.9,1.6657580856775092
318,27.2,1.6428633540255255
319,27.775,1.5986273408771663
320,27.5,1.6374522893812815
321,27.025,1.7206421403069263
322,26.65,1.7333313301270477
323,25.75,1.5869585690874224
324,25.0,1.362901317043901
325,24.75,1.3013214437639917
326,24.875,1.2933423270735398
327,24.325,1.3102421054904319
328,24.525,1.3162387226487449
329,24.675,1.3030672948854174
330,24.75,1.3027614900663897
331,24.3,1.3158647346897019
332,24.4,1.3151996046228116
333,24.725,1.2961421121929493
334,24.7,1.2957623238850555
335,24.8,1.298171791405128
336,25.25,1.3065938542638258
337,25.6,1.2970158056091683
338,25.25,1.279526279526919
339,25.225,1.2808627463549713
340,24.875,1.2743564552353472
341,24.45,1.1805454247931333
342,24.05,1.1570166377368996
343,24.0,1.162432793756267
344,24.35,1.1382826977513099
345,24.6,1.1520633663128084
346,25.125,1.124826375490902
347,25.35,1.150842082998358
348,25.425,1.1591416544150246
349,24.95,1.206207900819755
350,25.0,1.2041594578792296
351,24.625,1.1670944156322571
352,24.2,1.1102927541869305
353,24.225,1.1087647969700336
354,23.85,1.121689573812648
355,23.45,1.1537709911416563
356,23.475,1.1505365596103412
357,23.0,1.2083045973594573
358,22.9,1.2019775372277135
359,22.55,1.1704432920906505
360,23.125,1.1906865141589535
361,23.7,1.117027304948272
362,23.8,1.1063453348751464
363,23.825,1.1039064158704759
364,23.475,1.1247152417389923
365,23.225,1.0985715156511204
