state,1,2,3,4,5,6,7,8,9,10,11,12
Alabama,0.014084507042253518,0.056338028169014086,0.19718309859154928,0.19718309859154928,0.11267605633802814,0.1267605633802817,0.09859154929577464,0.056338028169014086,0.0,0.014084507042253518,0.0,0.1267605633802817
Arizona,0.015151515151515154,0.0,0.030303030303030307,0.10606060606060606,0.060606060606060615,0.12121212121212123,0.10606060606060606,0.30303030303030304,0.015151515151515154,0.0,0.0,0.24242424242424246
Arkansas,0.01694915254237288,0.0,0.0,0.0847457627118644,0.1694915254237288,0.2033898305084746,0.22033898305084745,0.06779661016949153,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.1694915254237288
California,0.013574660633484163,0.0,0.029411764705882356,0.05882352941176471,0.1176470588235294,0.12895927601809956,0.05882352941176471,0.033936651583710405,0.024886877828054297,0.006787330316742082,0.00904977375565611,0.5180995475113123
Colorado,0.0,0.0,0.08163265306122447,0.32653061224489793,0.2959183673469388,0.19387755102040816,0.040816326530612235,0.020408163265306117,0.0,0.0,0.0,0.040816326530612235
Connecticut,0.0,0.05555555555555555,0.0,0.1851851851851852,0.4259259259259259,0.0925925925925926,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.0,0.0,0.05555555555555555
Delaware,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.10714285714285714,0.25,0.25,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571
District of Columbia,0.0,0.0,0.022727272727272728,0.045454545454545456,0.1590909090909091,0.2272727272727273,0.3409090909090909,0.06818181818181818,0.09090909090909093,0.0,0.0,0.045454545454545456
Florida,0.07051282051282051,0.01282051282051282,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.05128205128205128,0.07051282051282051,0.08974358974358974,0.019230769230769232,0.038461538461538464,0.0,0.5705128205128205
Georgia,0.016129032258064516,0.008064516129032258,0.04838709677419355,0.08064516129032258,0.08870967741935484,0.1532258064516129,0.1129032258064516,0.12903225806451613,0.0967741935483871,0.024193548387096774,0.008064516129032258,0.2338709677419355
Idaho,0.0,0.08108108108108109,0.054054054054054064,0.13513513513513514,0.35135135135135137,0.1891891891891892,0.13513513513513514,0.0,0.0,0.0,0.0,0.054054054054054064
Illinois,0.026178010471204192,0.015706806282722512,0.06282722513089005,0.14659685863874344,0.32460732984293195,0.3036649214659686,0.052356020942408384,0.041884816753926704,0.005235602094240838,0.0,0.0,0.020942408376963352
Indiana,0.0,0.006944444444444444,0.04861111111111111,0.16666666666666666,0.3125,0.3263888888888889,0.06944444444444445,0.006944444444444444,0.02083333333333333,0.0,0.0,0.04166666666666666
Iowa,0.0,0.0,0.0198019801980198,0.16831683168316833,0.25742574257425743,0.5148514851485149,0.0297029702970297,0.0,0.0,0.0,0.0,0.0099009900990099
Kansas,0.012987012987012988,0.0,0.05194805194805195,0.16883116883116886,0.24675324675324675,0.3376623376623377,0.1038961038961039,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.0,0.012987012987012988
Kentucky,0.0,0.0,0.010526315789473684,0.06315789473684211,0.1368421052631579,0.4105263157894737,0.22105263157894736,0.06315789473684211,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.042105263157894736
Louisiana,0.017543859649122806,0.017543859649122806,0.10526315789473684,0.07017543859649122,0.017543859649122806,0.10526315789473684,0.0,0.017543859649122806,0.07017543859649122,0.05263157894736842,0.0,0.5263157894736842
Maine,0.030303030303030307,0.015151515151515154,0.015151515151515154,0.10606060606060606,0.2575757575757576,0.3787878787878788,0.09090909090909093,0.045454545454545456,0.015151515151515154,0.0,0.0,0.045454545454545456
Maryland,0.0,0.0,0.026086956521739132,0.14782608695652175,0.1565217391304348,0.21739130434782608,0.22608695652173916,0.060869565217391314,0.026086956521739132,0.008695652173913044,0.008695652173913044,0.1217391304347826
